,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Mark Aguirre\aguirma01,13,1982,1994,923,27730,7201,14865,392,1258,3664,4944,1704,4578,2871,687,296,2306,2599,18458,0.484,0.312,0.741,30,20,5,3.1,Dec 10 1959,Chicago
2,Cliff Alexander\alexacl01,1,2016,2016,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,0.5,,,4.5,1.3,0.8,0,Nov 16 1995,Chicago
3,Tony Allen\allento01,14,2005,2018,820,18055,2588,5447,125,444,1353,1909,1021,2884,1077,1158,337,1118,1947,6654,0.475,0.282,0.709,22,8.1,3.5,1.3,Jan 11 1982,Chicago
4,Ashraf Amaya\amayaas01,2,1996,1997,85,1248,133,292,1,2,112,177,133,355,36,29,13,67,180,379,0.455,0.5,0.633,14.7,4.5,4.2,0.4,Nov 23 1971,Oak Park
5,Eric Anderson\anderer01,2,1993,1994,27,83,12,35,2,2,16,27,12,31,5,3,2,7,23,42,0.343,1,0.593,3.1,1.6,1.1,0.2,May 26 1970,Chicago
6,J.J. Anderson\anderjj01,3,1983,1985,157,1970,306,658,0,9,139,249,186,439,110,107,39,131,251,751,0.465,0,0.558,12.5,4.8,2.8,0.7,Sep 23 1960,Chicago
7,Nick Anderson\anderni01,13,1990,2002,800,24922,4416,9891,1055,2964,1642,2461,1011,4064,2087,1114,364,1358,1502,11529,0.446,0.356,0.667,31.2,14.4,5.1,2.6,Jan 20 1968,Chicago
8,Ron Anderson\anderro01,10,1985,1994,664,15112,2936,6239,105,366,1079,1325,856,2312,952,470,90,730,1019,7056,0.471,0.287,0.814,22.8,10.6,3.5,1.4,Oct 15 1958,Chicago
9,Jim Ard\ardji01,8,1971,1978,431,5766,752,1870,4,17,401,606,573,1832,278,59,121,291,747,1909,0.402,0.235,0.662,13.4,4.4,4.3,0.6,Sep 19 1948,Harvey
10,James Augustine\augusja01,2,2007,2008,27,156,19,37,0,0,4,8,17,33,4,5,2,6,20,42,0.514,,0.5,5.8,1.6,1.2,0.1,Feb 27 1984,Midlothian
11,Maurice Baker\bakerma01,1,2005,2005,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,0,,,3.8,0,0.4,0.2,Jul 28 1979,Granite City
12,Keita Bates-Diop\bateske01,2,2019,2020,69,1168,149,350,44,146,67,97,37,195,47,35,35,28,67,409,0.426,0.301,0.691,16.9,5.9,2.8,0.7,Jan 23 1996,Bloomington
13,Kenny Battle\battlke01,4,1990,1993,134,1795,243,482,4,30,137,189,138,327,106,98,31,91,214,627,0.504,0.133,0.725,13.4,4.7,2.4,0.8,Oct 10 1964,Aurora
14,Lloyd Batts\battsll01,1,1975,1975,58,1317,249,680,42,147,58,94,71,197,106,73,6,89,104,598,0.366,0.286,0.617,22.7,10.3,3.4,1.8,May 9 1951,Chicago
15,Elmer Behnke\behnkel01,1,1952,1952,4,55,6,22,,,4,7,,17,4,,,,13,16,0.273,,0.571,13.8,4,4.3,1,Feb 3 1929,Elgin
16,Irv Bemoras\bemorir01,2,1954,1957,131,2479,309,890,,,209,311,,341,125,,,,228,827,0.347,,0.672,18.9,6.3,2.6,1,Nov 18 1930,Chicago
17,Elmer Bennett\benneel01,3,1995,1997,21,159,16,47,3,11,13,18,1,10,22,9,1,20,16,48,0.34,0.273,0.722,7.6,2.3,0.5,1,Feb 13 1970,Evanston
18,Patrick Beverley\beverpa01,8,2013,2020,428,12060,1349,3260,688,1812,432,567,500,1877,1491,505,191,558,1344,3818,0.414,0.38,0.762,28.2,8.9,4.4,3.5,Jul 12 1988,Chicago
19,Cory Blackwell\blackco01,1,1985,1985,60,551,87,237,0,2,28,55,42,96,26,25,3,44,55,202,0.367,0,0.509,9.2,3.4,1.6,0.4,Mar 27 1963,Chicago
20,Bucky Bockhorn\bockhbu01,7,1959,1965,474,14791,2245,5574,,,940,1256,,2234,1645,,,,1565,5430,0.403,,0.748,31.2,11.5,4.7,3.5,Jul 8 1933,Campbell Hill
21,George Bon Salle\bonsage01,1,1962,1962,3,9,2,8,,,0,0,,2,0,,,,0,4,0.25,,,3,1.3,0.7,0,Jul 1 1935,Chicago
22,Walter Bond\bondwa01,3,1993,1995,153,2427,329,805,41,137,174,227,80,289,177,97,34,146,360,873,0.409,0.299,0.767,15.9,5.7,1.9,1.2,Feb 1 1969,Chicago
23,Donnie Boyce\boycedo01,2,1996,1997,30,195,30,86,6,24,13,26,12,25,16,13,5,22,19,79,0.349,0.25,0.5,6.5,2.6,0.8,0.5,Sep 2 1973,Chicago
